Age (AGEP),Total,N/A (person less than 1 year old/lived in same house 1 year ago),Alabama/AL,Alaska/AK,Arizona/AZ,Arkansas/AR,California/CA,Colorado/CO,Connecticut/CT,Delaware/DE,District of Columbia/DC,Florida/FL,Georgia/GA,Hawaii/HI,Idaho/ID,Illinois/IL,Indiana/IN,Iowa/IA,Kansas/KS,Kentucky/KY,Louisiana/LA,Maine/ME,Maryland/MD,Massachusetts/MA,Michigan/MI,Minnesota/MN,Mississippi/MS,Missouri/MO,Montana/MT,Nebraska/NE,Nevada/NV,New Hampshire/NH,New Jersey/NJ,New Mexico/NM,New York/NY,North Carolina/NC,North Dakota/ND,Ohio/OH,Oklahoma/OK,Oregon/OR,Pennsylvania/PA,Rhode Island/RI,South Carolina/SC,South Dakota/SD,Tennessee/TN,Texas/TX,Utah/UT,Vermont/VT,Virginia/VA,Washington/WA,West Virginia/WV,Wisconsin/WI,Wyoming/WY,Puerto Rico,France,Germany,"Northern Europe, Not Specified","Eastern Europe, Not Specified","Western Europe or Other Europe, Not Specified",Italy,Spain,"United Kingdom, Excluding England",England,Russia,Ukraine (2017 or later),Afghanistan,"China, Hong Kong, Macau and Paracel Islands",India,Iraq (2016 or earlier),Israel (2017 or later),Japan,Korea,Nepal,Pakistan,Philippines,Saudi Arabia,Taiwan,Thailand,Turkey,United Arab Emirates (2017 or later),Vietnam,"Eastern Asia, Not Specified","Western Asia, Not Specified","South Central Asia or Asia, Not Specified",Canada,Mexico,El Salvador,Guatemala,Honduras,"Central America, Not Specified",Cuba,Dominican Republic,Haiti,Jamaica,"Caribbean and North America, Not Specified",Brazil,Colombia,Ecuador (2017 or later),Peru (2017 or later),Venezuela (2017 or later),"South America, Not Specified",Egypt,Ethiopia (2017 or later),Kenya (2017 or later),Nigeria,"Western Africa, Not Specified","Northern Africa or Other Africa, Not Specified","Eastern Africa, Not Specified",Australia,"Other US Island Areas, Oceania, Not Specified, or At Sea"
38 years,27657,23219,12,0,14,0,131,0,18,0,22,126,36,0,0,0,12,0,0,0,0,0,150,0,28,0,0,0,0,11,0,0,34,0,28,31,0,19,0,0,50,0,25,0,0,70,0,0,3055,0,0,0,0,29,0,69,0,0,24,50,0,9,20,0,0,64,30,58,0,0,0,36,0,0,0,0,0,0,0,0,0,0,13,20,20,0,0,0,0,0,22,0,0,0,0,0,19,0,83,0,0,0,0,0,0,0,0,0,0,0
39 years,26018,22059,0,0,25,0,89,17,0,0,58,42,8,18,0,21,15,11,0,11,19,0,85,32,27,0,0,101,0,0,0,0,36,0,14,105,0,0,86,0,56,0,198,0,30,41,0,0,2731,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,14,0,0,0,8,0,0,0,0,0,0,0,0,0,13,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40 years,26354,22464,0,0,101,0,83,26,0,0,18,0,13,0,18,12,32,0,0,33,0,0,117,0,0,0,0,0,0,10,0,0,46,0,19,60,0,13,0,0,16,0,13,0,58,108,0,0,2677,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,60,0,0,0,51,0,0,0,0,11,0,17,0,0,0,0,7,0,40,0,64,0,0,0,0,32,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0
41 years,24143,20969,0,0,0,8,46,27,0,0,45,130,50,0,0,0,0,0,28,0,0,0,71,13,17,0,88,9,0,0,0,0,48,0,25,10,0,0,0,0,8,0,6,0,30,77,0,0,2276,0,0,0,0,0,0,0,0,0,0,16,18,0,0,0,0,0,59,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42 years,24963,22020,0,0,0,0,118,0,13,0,17,51,10,29,0,16,0,0,0,3,0,26,62,25,78,0,0,0,0,0,0,0,0,0,31,50,25,0,12,0,12,0,27,0,90,33,0,0,1811,14,0,0,0,9,0,0,14,0,0,14,0,0,0,0,0,12,0,14,0,0,41,0,0,0,71,0,0,0,83,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,49,0,0,0,0
43 years,25487,22108,25,0,0,0,92,0,16,0,50,85,0,10,0,0,17,0,0,0,0,0,45,10,0,0,0,0,0,0,0,0,0,0,27,104,0,32,46,0,0,0,99,0,37,30,0,0,2288,55,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,23,0,0,0,32,0,0,0,0,0,0,0,24,0,0,26,0,0,75,0,0,0,0,0,8,0,0,20,0,0,24,0,0,0,0,0,0,0,0,0,0,25,0,0
44 years,25200,22679,12,0,0,0,64,14,0,0,37,0,0,0,0,16,0,0,0,0,0,0,180,0,0,0,0,0,0,54,28,0,25,0,82,23,0,0,0,0,79,0,0,0,0,29,0,0,1772,27,0,0,10,0,0,22,0,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45 years,26937,23778,0,0,16,0,65,50,0,0,15,0,19,0,0,0,0,0,0,0,40,0,55,0,35,0,0,0,0,0,0,0,0,0,71,77,0,20,4,0,76,21,11,0,31,48,0,0,2333,0,0,0,0,0,19,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,16,0,0,27,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
46 years,25052,22496,0,19,0,0,47,18,12,0,21,9,0,0,0,0,0,0,0,0,0,0,36,10,0,0,0,0,0,0,0,0,0,0,0,135,0,14,0,0,21,0,18,0,18,47,31,0,1713,59,0,0,0,0,0,24,0,0,19,37,0,30,72,0,0,0,33,18,0,0,0,19,0,19,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
47 years,27072,24480,21,13,0,0,38,0,0,0,34,27,0,0,0,36,0,0,24,45,23,0,9,47,0,0,22,10,0,0,0,0,0,0,0,46,0,0,0,0,53,6,0,23,0,12,0,0,1912,0,0,0,0,0,35,68,0,0,0,0,0,12,0,0,0,0,9,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48 years,26168,24117,0,0,0,0,15,0,16,0,17,30,14,9,0,0,0,0,0,0,0,0,83,0,0,0,0,13,0,0,0,0,0,0,28,0,0,18,0,0,25,9,0,0,11,41,0,0,1473,11,0,42,0,8,0,0,0,0,16,0,0,0,0,0,0,50,12,29,0,0,34,0,0,25,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49 years,26607,24362,0,0,0,0,68,10,0,0,0,19,89,0,0,25,0,61,0,0,0,0,36,52,27,0,0,14,0,0,0,0,22,0,0,47,0,27,0,0,32,0,0,0,0,15,0,0,1337,0,41,0,0,28,26,44,0,38,0,0,0,0,0,19,0,17,0,0,0,0,12,0,0,0,0,0,0,63,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
50 years,25001,23427,0,0,0,0,23,27,0,0,0,21,23,18,0,17,0,0,0,0,0,0,250,0,18,0,18,0,0,0,0,0,0,0,70,0,0,22,0,0,0,0,0,0,22,0,0,30,854,0,0,0,0,0,13,0,0,0,0,14,13,0,0,0,0,0,32,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,7,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,10,0,8,0,0
51 years,23977,22255,0,0,0,0,0,17,0,0,36,0,39,0,0,0,0,19,0,0,0,0,82,21,0,0,0,12,14,0,20,23,17,0,0,0,0,0,0,0,0,0,0,0,0,75,0,13,1222,0,0,0,11,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,11,0,0,0,24,0,0,0,0,0,0,0,0,0,0,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52 years,25175,23430,6,0,0,0,11,0,21,0,43,10,15,0,0,0,0,0,11,0,17,0,170,0,0,0,0,0,0,0,0,0,0,13,11,53,12,12,0,0,30,0,24,0,0,0,0,43,1203,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53 years,25100,23249,17,0,0,0,0,0,0,0,29,0,15,0,0,0,0,0,0,0,0,13,20,0,63,0,0,0,0,0,0,21,0,0,25,73,0,18,0,0,51,0,13,0,0,56,0,0,1353,0,0,0,0,0,0,6,0,0,0,26,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
54 years,24948,22963,0,0,0,0,63,0,0,0,19,41,0,0,0,0,0,14,0,0,0,0,50,24,0,0,0,0,0,0,0,0,60,0,19,0,0,0,0,0,0,0,21,0,0,0,0,0,1336,13,0,0,0,69,0,35,0,8,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,28,0,0,0,0,0,24,0,54,21,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,34,0,0,0
55 years,25265,23460,0,0,0,0,54,28,0,0,0,0,52,0,0,0,16,0,0,0,12,14,113,18,0,0,0,0,0,0,0,0,12,0,13,28,0,0,0,0,26,0,22,0,0,0,0,0,1174,26,17,7,0,0,0,14,0,0,0,0,0,19,0,0,0,0,0,18,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
56 years,23798,22218,0,0,25,0,28,20,0,8,22,26,13,0,0,0,0,0,0,0,0,0,42,12,0,0,0,22,0,0,0,0,29,0,0,32,0,13,0,0,37,0,0,0,65,0,0,0,1032,33,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,29,0,0,15,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,12
57 years,22449,20903,22,0,0,0,19,23,0,53,89,18,0,24,0,0,14,0,0,0,13,0,22,67,20,12,0,14,0,0,0,0,28,0,9,27,0,0,0,0,9,15,0,0,0,0,0,0,971,0,0,0,0,0,25,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
58 years,22741,21067,0,0,0,0,0,0,27,0,48,26,12,0,0,0,0,0,0,0,0,14,57,24,24,0,0,0,0,0,0,0,15,0,0,17,0,0,0,0,0,0,0,0,29,0,0,0,1349,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59 years,23052,21342,0,0,0,0,21,34,0,0,25,25,20,0,0,0,0,0,0,45,0,0,82,26,0,0,0,0,46,16,0,0,21,0,2,83,0,0,0,0,54,0,23,0,21,124,0,0,923,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,23,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
60 years,23500,21888,21,0,0,0,35,15,0,0,36,0,0,0,0,0,44,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,5,94,0,0,0,0,0,0,12,0,44,0,13,14,1111,22,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,26,37,15,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61 years,21120,19691,0,0,0,0,27,0,0,0,0,11,0,0,0,0,35,0,0,0,0,0,96,10,0,0,0,19,0,0,0,0,0,0,0,34,0,13,0,0,13,0,0,0,17,31,0,0,1055,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,16,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
62 years,20078,18737,0,0,0,0,0,12,0,0,8,0,0,17,0,0,0,0,0,0,0,0,28,0,0,0,0,6,0,0,0,0,0,0,9,21,0,0,0,0,20,0,0,0,14,20,0,14,1074,16,11,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63 years,19397,18272,0,0,0,0,14,21,0,0,0,20,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,10,33,0,0,0,0,18,0,20,0,14,27,0,0,767,0,46,0,0,0,8,0,0,0,0,0,0,0,0,19,0,0,7,0,0,0,0,0,0,0,28,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0
64 years,18215,17075,0,0,0,0,14,12,0,0,0,26,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,17,0,46,43,0,68,0,0,18,0,16,0,24,0,0,0,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65 years,17990,16931,15,0,0,0,34,0,0,0,13,15,23,26,0,0,0,0,0,0,0,0,67,25,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,16,63,0,0,0,33,0,0,623,22,27,0,0,26,0,0,0,0,10,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
