Age (AGEP),Total,N/A (person less than 1 year old/lived in same house 1 year ago),Alabama/AL,Alaska/AK,Arizona/AZ,Arkansas/AR,California/CA,Colorado/CO,Connecticut/CT,Delaware/DE,District of Columbia/DC,Florida/FL,Georgia/GA,Hawaii/HI,Idaho/ID,Illinois/IL,Indiana/IN,Iowa/IA,Kansas/KS,Kentucky/KY,Louisiana/LA,Maine/ME,Maryland/MD,Massachusetts/MA,Michigan/MI,Minnesota/MN,Mississippi/MS,Missouri/MO,Montana/MT,Nebraska/NE,Nevada/NV,New Hampshire/NH,New Jersey/NJ,New Mexico/NM,New York/NY,North Carolina/NC,North Dakota/ND,Ohio/OH,Oklahoma/OK,Oregon/OR,Pennsylvania/PA,Rhode Island/RI,South Carolina/SC,South Dakota/SD,Tennessee/TN,Texas/TX,Utah/UT,Vermont/VT,Virginia/VA,Washington/WA,West Virginia/WV,Wisconsin/WI,Wyoming/WY,Puerto Rico,France,Germany,"Northern Europe, Not Specified","Eastern Europe, Not Specified","Western Europe or Other Europe, Not Specified",Italy,Spain,"United Kingdom, Excluding England",England,Russia,Ukraine (2017 or later),Afghanistan,"China, Hong Kong, Macau and Paracel Islands",India,Iraq (2016 or earlier),Israel (2017 or later),Japan,Korea,Nepal,Pakistan,Philippines,Saudi Arabia,Taiwan,Thailand,Turkey,United Arab Emirates (2017 or later),Vietnam,"Eastern Asia, Not Specified","Western Asia, Not Specified","South Central Asia or Asia, Not Specified",Canada,Mexico,El Salvador,Guatemala,Honduras,"Central America, Not Specified",Cuba,Dominican Republic,Haiti,Jamaica,"Caribbean and North America, Not Specified",Brazil,Colombia,Ecuador (2017 or later),Peru (2017 or later),Venezuela (2017 or later),"South America, Not Specified",Egypt,Ethiopia (2017 or later),Kenya (2017 or later),Nigeria,"Western Africa, Not Specified","Northern Africa or Other Africa, Not Specified","Eastern Africa, Not Specified",Australia,"Other US Island Areas, Oceania, Not Specified, or At Sea"
27 years,32230,25071,49,5,76,0,52,23,0,0,0,308,5627,0,0,0,26,0,0,0,0,0,3,0,0,0,238,31,0,0,0,0,0,0,82,55,0,0,0,0,96,0,55,0,0,77,0,0,63,0,22,49,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,93,0,0,0,0,0,16,0,0,0,34,0,0,0,0,0,0,0,0,0,0,22,0,0,0
28 years,29623,22871,0,0,0,0,27,66,0,0,0,254,5521,0,0,29,40,0,0,0,37,0,30,0,43,84,0,0,0,0,24,0,4,0,80,167,0,19,17,0,0,0,39,0,38,32,0,0,17,24,0,0,0,13,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0
29 years,29727,23278,15,0,24,48,114,0,0,0,0,201,5239,0,0,0,20,0,0,29,9,0,0,0,0,0,0,30,0,0,0,0,0,0,16,31,0,122,9,0,0,0,18,0,0,25,0,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,28,0,0,0,0,53,0,9
30 years,29063,23547,41,0,35,0,17,0,0,0,0,148,4687,0,0,24,13,0,0,30,0,0,0,0,0,0,0,0,0,43,24,6,88,0,0,33,0,45,7,0,14,0,0,0,71,52,0,0,29,16,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31 years,27287,21463,9,19,0,0,4,0,0,3,0,115,4870,0,0,39,0,0,0,0,0,0,35,0,0,0,83,0,0,0,6,0,22,0,110,117,0,0,0,0,0,0,32,0,85,43,0,0,36,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,29,0,0
32 years,27506,22725,0,0,23,0,19,0,0,0,0,268,3853,0,0,0,0,0,17,0,10,0,0,0,23,0,0,0,0,0,0,0,12,0,27,0,0,0,0,0,34,0,180,0,57,12,0,0,0,0,0,0,72,0,0,0,0,0,0,11,0,0,0,0,0,0,29,46,0,0,0,0,0,0,33,0,0,0,0,0,0,0,13,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
33 years,26458,21651,0,0,0,25,14,0,31,0,9,177,3891,0,0,0,0,25,0,0,0,0,0,0,9,0,16,0,0,13,11,0,0,0,185,68,0,138,0,0,55,0,13,0,32,0,42,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34 years,24795,20624,10,0,11,0,0,0,0,0,0,133,3492,0,0,31,1,0,5,0,0,0,2,0,7,0,0,0,0,0,0,0,12,0,10,31,19,0,0,0,0,0,106,0,18,33,0,0,55,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,15,28,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35 years,26008,21491,78,0,0,0,26,0,96,0,0,190,3612,0,0,0,0,0,6,10,0,0,0,18,98,0,0,0,0,0,0,0,0,0,0,38,0,93,0,0,14,0,86,0,0,21,0,0,0,0,0,0,0,24,0,0,0,2,0,0,0,0,21,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,13,0,2,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36 years,25922,21780,0,0,0,0,19,0,0,0,0,122,3559,0,0,0,0,0,0,0,106,0,0,0,0,0,90,0,0,0,0,0,0,0,0,8,0,0,0,0,0,60,84,0,0,10,0,0,12,19,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
