,state,25-40,41-56,57-75
0,California,207534,86788,74499
1,New York,151261,56490,47250
2,Virginia,143098,65228,42165
3,Florida,128421,62680,56563
4,Texas,140252,59652,41251
5,Illinois,94988,40835,33292
6,Pennsylvania,81530,31565,29165
7,North Carolina,80713,33193,22458
8,Georgia,75842,34033,24965
9,New Jersey,67407,28614,26681
