RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31
46,26,Oregon,State,OR,256924.0,258565.0,260599.0,262378.0,264283.0,266254.0,268515.0,271062.0,273518.0,276075.0,278493.0,281059.0,283743.0,285835.0,288023.0,290558.0,293730.0,296748.0,299775.0,302313.0,304939.0,307264.0,309423.0,311799.0,314063.0,316736.0,318972.0,321306.0,323091.0,324644.0,325972.0,327623.0,329352.0,331125.0,332988.0,334733.0,336402.0,338398.0,340693.0,342810.0,344670.0,346609.0,348612.0,350049.0,350996.0,351596.0,352572.0,353720.0,354955.0,355760.0,355974.0,356308.0,357031.0,358458.0,359563.0,360567.0,360847.0,361753.0,362277.0,363522.0,364707.0,366314.0,368262.0,370378.0,372647.0,374617.0,377098.0,380148.0,384288.0,388432.0,393028.0,397363.0
45,27,Oklahoma,State,OK,111114.0,111477.0,111910.0,112305.0,112593.0,112892.0,113159.0,113419.0,113596.0,113537.0,113515.0,113578.0,113911.0,114301.0,114671.0,115007.0,115339.0,115702.0,116080.0,116433.0,116767.0,117160.0,117530.0,117915.0,118117.0,118362.0,118587.0,119004.0,119405.0,119788.0,120076.0,120397.0,120805.0,121257.0,121675.0,122068.0,122427.0,122611.0,122809.0,122993.0,123333.0,123559.0,123821.0,124061.0,124347.0,124689.0,125004.0,125359.0,125614.0,126120.0,126557.0,126994.0,127351.0,127922.0,128574.0,129159.0,129654.0,130122.0,130694.0,131226.0,131917.0,132516.0,133226.0,133944.0,134694.0,135381.0,136057.0,136844.0,137717.0,138626.0,139530.0,140511.0
11,28,Connecticut,State,CT,241917.0,241897.0,242323.0,242705.0,243136.0,243196.0,243331.0,243538.0,243960.0,243846.0,243212.0,242895.0,243049.0,243447.0,243478.0,243146.0,242940.0,242826.0,242899.0,242830.0,242643.0,242964.0,243771.0,244682.0,245600.0,246156.0,246745.0,247502.0,248338.0,249092.0,249886.0,250741.0,251734.0,252508.0,253426.0,253902.0,254247.0,254352.0,254752.0,255201.0,255746.0,256461.0,256920.0,257368.0,257304.0,257331.0,257053.0,257448.0,257385.0,257956.0,258256.0,258943.0,259565.0,259960.0,259999.0,259607.0,259179.0,258851.0,258778.0,259016.0,259974.0,260702.0,261624.0,262477.0,263603.0,265132.0,267356.0,270241.0,273748.0,277565.0,281717.0,285853.0
19,29,Iowa,State,IA,127673.0,127962.0,128308.0,128632.0,129050.0,129466.0,129912.0,130384.0,130847.0,131312.0,131799.0,132228.0,132572.0,132929.0,133307.0,133670.0,134037.0,134452.0,134919.0,135357.0,135735.0,136133.0,136548.0,137039.0,137638.0,138227.0,138820.0,139361.0,139863.0,140383.0,140846.0,141335.0,141814.0,142280.0,142793.0,143320.0,143685.0,144010.0,144334.0,144885.0,145463.0,145826.0,146158.0,146531.0,147048.0,147533.0,147881.0,148254.0,148712.0,149356.0,149922.0,150383.0,150693.0,151148.0,151538.0,152049.0,152422.0,152829.0,153030.0,153295.0,153589.0,153860.0,154131.0,154391.0,154776.0,155169.0,155652.0,156033.0,156468.0,156912.0,157595.0,158239.0
34,30,Mississippi,State,MS,107901.0,108350.0,108723.0,109063.0,109384.0,109766.0,110098.0,110373.0,110582.0,110786.0,110945.0,111079.0,111214.0,111384.0,111624.0,111843.0,112088.0,112368.0,112675.0,113045.0,113378.0,113644.0,113900.0,114205.0,114557.0,114849.0,115142.0,115483.0,115836.0,116107.0,116353.0,116610.0,116937.0,117292.0,117680.0,117999.0,118336.0,118699.0,119053.0,119387.0,119743.0,120186.0,120636.0,121058.0,121504.0,121899.0,122262.0,122586.0,122906.0,123334.0,123818.0,124454.0,124951.0,125445.0,125810.0,126277.0,126630.0,126947.0,127210.0,127489.0,127841.0,128122.0,128418.0,128629.0,128971.0,129335.0,129843.0,130325.0,130910.0,131588.0,132364.0,133213.0
6,31,Arkansas,State,AR,110405.0,110613.0,110750.0,110927.0,111059.0,111296.0,111578.0,111932.0,112250.0,112528.0,112844.0,113145.0,113460.0,113788.0,114156.0,114524.0,114941.0,115360.0,115719.0,116009.0,116312.0,116673.0,117046.0,117425.0,117826.0,118204.0,118637.0,119008.0,119447.0,119846.0,120398.0,120951.0,121453.0,121879.0,122317.0,122806.0,123295.0,123828.0,124320.0,124849.0,125319.0,125742.0,126112.0,126417.0,126805.0,127183.0,127634.0,128129.0,128625.0,129063.0,129419.0,129802.0,130293.0,130814.0,131293.0,131763.0,132227.0,132706.0,132912.0,133135.0,133378.0,133838.0,134327.0,134834.0,135321.0,135874.0,136511.0,137248.0,138021.0,138869.0,139966.0,141095.0
23,32,Kansas,State,KS,124913.0,125251.0,125731.0,126223.0,126767.0,127322.0,127779.0,128205.0,128522.0,128919.0,129264.0,129609.0,129930.0,130376.0,130803.0,131197.0,131654.0,132136.0,132676.0,133170.0,133676.0,134155.0,134611.0,135105.0,135629.0,136206.0,136850.0,137535.0,138036.0,138436.0,138879.0,139445.0,140099.0,140759.0,141489.0,142232.0,142946.0,143577.0,144126.0,144653.0,145293.0,145941.0,146438.0,146856.0,147316.0,147806.0,148391.0,148916.0,149493.0,150000.0,150493.0,150967.0,151471.0,152103.0,152804.0,153425.0,153940.0,154335.0,154490.0,154769.0,155168.0,155827.0,156465.0,157186.0,157940.0,158692.0,159538.0,160551.0,161703.0,163041.0,164621.0,166254.0
55,33,Utah,State,UT,237271.0,238321.0,239738.0,241427.0,242982.0,244383.0,245969.0,247986.0,250163.0,251991.0,253363.0,254805.0,256419.0,258088.0,259378.0,260581.0,262278.0,264192.0,266229.0,267674.0,269552.0,271395.0,273757.0,275991.0,278084.0,280048.0,282299.0,284784.0,287202.0,289667.0,291903.0,294394.0,296266.0,298247.0,300156.0,302513.0,304528.0,307084.0,309590.0,312638.0,315378.0,317820.0,320340.0,322519.0,324943.0,327478.0,330119.0,332459.0,334630.0,336573.0,338304.0,339618.0,340752.0,342453.0,344111.0,345850.0,347365.0,348369.0,349642.0,350536.0,352290.0,353844.0,356086.0,358579.0,361692.0,364850.0,368430.0,372498.0,377191.0,382703.0,388470.0,395205.0
42,34,Nevada,State,NV,206583.0,208207.0,209351.0,210773.0,212709.0,214144.0,214834.0,215906.0,217561.0,219051.0,219967.0,221391.0,223381.0,225243.0,226260.0,227805.0,229136.0,230815.0,232144.0,233496.0,234768.0,235314.0,236431.0,236040.0,236839.0,237677.0,240881.0,243278.0,245777.0,248173.0,251422.0,254218.0,257632.0,261677.0,266057.0,270338.0,273289.0,276613.0,278693.0,281363.0,284175.0,288286.0,292073.0,295682.0,297654.0,298866.0,299160.0,300512.0,301802.0,303037.0,302978.0,303277.0,304319.0,305488.0,305483.0,304250.0,302905.0,303029.0,304054.0,304911.0,306108.0,307089.0,309167.0,310949.0,312171.0,312743.0,314286.0,317116.0,320875.0,323917.0,326766.0,329465.0
41,35,New Mexico,State,NM,171297.0,171157.0,171146.0,171529.0,171778.0,172243.0,172708.0,173446.0,173833.0,173829.0,173310.0,173127.0,173501.0,174208.0,175164.0,175727.0,176390.0,176870.0,177410.0,177550.0,177867.0,178649.0,179787.0,180784.0,181192.0,181459.0,181393.0,181721.0,182120.0,182791.0,183528.0,184338.0,185053.0,185282.0,185601.0,185767.0,186229.0,186966.0,188108.0,189212.0,190047.0,190672.0,190949.0,191470.0,192033.0,193334.0,194360.0,195616.0,196746.0,197706.0,198357.0,198968.0,199858.0,201133.0,202430.0,203586.0,204562.0,205107.0,205534.0,206175.0,207114.0,208374.0,209639.0,211014.0,212432.0,213751.0,215370.0,217136.0,219213.0,221530.0,224257.0,226941.0
