Age (AGEP),Total,N/A (person less than 1 year old/lived in same house 1 year ago),Alabama/AL,Alaska/AK,Arizona/AZ,Arkansas/AR,California/CA,Colorado/CO,Connecticut/CT,Delaware/DE,District of Columbia/DC,Florida/FL,Georgia/GA,Hawaii/HI,Idaho/ID,Illinois/IL,Indiana/IN,Iowa/IA,Kansas/KS,Kentucky/KY,Louisiana/LA,Maine/ME,Maryland/MD,Massachusetts/MA,Michigan/MI,Minnesota/MN,Mississippi/MS,Missouri/MO,Montana/MT,Nebraska/NE,Nevada/NV,New Hampshire/NH,New Jersey/NJ,New Mexico/NM,New York/NY,North Carolina/NC,North Dakota/ND,Ohio/OH,Oklahoma/OK,Oregon/OR,Pennsylvania/PA,Rhode Island/RI,South Carolina/SC,South Dakota/SD,Tennessee/TN,Texas/TX,Utah/UT,Vermont/VT,Virginia/VA,Washington/WA,West Virginia/WV,Wisconsin/WI,Wyoming/WY,Puerto Rico,France,Germany,"Northern Europe, Not Specified","Eastern Europe, Not Specified","Western Europe or Other Europe, Not Specified",Italy,Spain,"United Kingdom, Excluding England",England,Russia,Ukraine (2017 or later),Afghanistan,"China, Hong Kong, Macau and Paracel Islands",India,Iraq (2016 or earlier),Israel (2017 or later),Japan,Korea,Nepal,Pakistan,Philippines,Saudi Arabia,Taiwan,Thailand,Turkey,United Arab Emirates (2017 or later),Vietnam,"Eastern Asia, Not Specified","Western Asia, Not Specified","South Central Asia or Asia, Not Specified",Canada,Mexico,El Salvador,Guatemala,Honduras,"Central America, Not Specified",Cuba,Dominican Republic,Haiti,Jamaica,"Caribbean and North America, Not Specified",Brazil,Colombia,Ecuador (2017 or later),Peru (2017 or later),Venezuela (2017 or later),"South America, Not Specified",Egypt,Ethiopia (2017 or later),Kenya (2017 or later),Nigeria,"Western Africa, Not Specified","Northern Africa or Other Africa, Not Specified","Eastern Africa, Not Specified",Australia,"Other US Island Areas, Oceania, Not Specified, or At Sea"
53 years Regular high school diploma,75075,65897,93,0,11,18,12,28,90,0,49,6500,233,0,0,17,51,31,0,31,53,83,11,54,66,0,0,16,0,0,18,71,137,0,264,54,0,237,0,0,77,0,58,17,48,38,0,0,34,0,0,10,0,36,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,39,10,0,0,125,0,0,0,0,20,120,19,0,10,0,0,76,0,62,32,85,0,0,0,0,0,0,0,0,0
54 years Regular high school diploma,71256,61963,59,0,27,0,62,52,152,0,0,7040,89,0,0,29,9,10,0,30,34,0,44,70,95,19,0,0,0,0,0,0,84,0,127,0,0,144,44,12,127,0,23,0,48,66,0,0,11,12,0,21,0,20,0,11,0,39,44,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,272,25,0,0,179,28,0,8,0,0,21,0,0,0,0,0,0,0,0,0
55 years Regular high school diploma,78403,69684,63,0,0,0,23,0,25,10,0,6948,45,0,0,109,25,0,0,13,0,0,33,53,45,32,0,28,0,0,24,0,83,0,129,46,0,38,0,7,59,0,0,0,49,101,0,0,100,66,6,10,0,115,0,0,7,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,26,0,0,0,0,34,127,0,7,15,16,23,88,0,0,19,19,0,0,0,0,0,0,0,0,14
56 years Regular high school diploma,72427,64513,38,0,15,0,73,51,34,0,0,6234,63,0,0,35,16,0,0,23,10,9,21,25,107,9,0,24,0,0,0,0,57,0,170,49,0,16,0,7,91,10,18,0,16,72,0,0,64,0,0,0,0,39,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,93,0,107,26,0,13,35,0,0,105,60,0,0,0,18,0,0,0,0,0
57 years Regular high school diploma,72875,65225,30,0,0,0,85,0,63,0,0,5714,54,0,0,43,47,7,0,65,0,0,19,32,39,27,0,0,10,0,38,15,35,0,305,109,0,156,10,0,68,43,119,0,12,26,0,0,22,0,17,0,0,66,0,0,0,14,0,0,0,13,16,45,0,0,18,0,0,32,0,0,0,0,0,0,0,0,0,11,0,0,0,0,20,0,0,48,0,0,124,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
58 years Regular high school diploma,73696,66165,34,11,0,0,106,45,15,11,0,5230,60,0,0,48,71,11,0,7,0,9,10,56,94,15,7,36,0,0,0,54,62,0,217,182,0,118,0,11,67,11,101,0,15,141,9,0,49,30,34,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,18,36,0,0,24,0,97,0,0,0,131,0,0,0,0,0,0,0,3,0
59 years Regular high school diploma,69241,61296,20,0,0,8,42,163,83,0,0,5603,238,26,13,174,19,0,0,0,11,13,0,144,49,23,0,19,0,0,0,23,166,11,164,55,0,109,0,0,133,0,0,0,45,39,0,0,80,0,26,0,0,0,0,24,0,40,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,46,0,74,0,0,11,0,0,46,0,10,30,95,0,0,0,42,0,0,0,0,0,0,0,0,0
60 years Regular high school diploma,73107,65709,37,0,0,14,0,54,11,0,27,5270,96,0,0,17,0,0,0,18,28,32,14,58,62,0,0,19,0,0,92,0,31,0,159,18,0,225,0,19,186,0,62,21,22,141,0,0,0,0,0,122,12,40,0,0,13,45,0,0,13,0,14,0,0,0,0,13,0,0,21,0,0,0,0,0,0,0,10,0,0,0,11,0,41,0,0,0,0,31,177,0,0,13,0,26,0,0,0,24,39,0,0,0,0,0,0,0,0,0
61 years Regular high school diploma,67067,59986,0,0,18,0,44,0,41,7,0,5032,100,0,0,19,50,6,0,0,16,9,20,86,66,7,0,16,0,20,0,29,43,0,213,22,0,256,4,0,91,0,54,0,18,98,0,0,28,0,18,61,0,78,0,0,14,48,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,54,0,0,0,147,0,0,8,0,0,30,26,55,0,12,49,0,0,33,0,0,0,0,0,0,0,0,0,0,0
62 years Regular high school diploma,66791,59711,0,0,18,0,14,24,124,8,18,4578,89,0,0,99,106,32,0,9,16,11,12,90,151,27,21,8,0,0,0,36,155,0,211,52,0,111,0,0,174,0,20,0,33,29,0,0,61,14,0,0,0,18,0,13,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,230,0,0,0,0,0,0,0,0,0,192,0,0,0,0,12,110,0,73,0,0,39,12,0,0,0,0,0,0,0,0,0,0,0,0,0
