Age (AGEP),Total,N/A (person less than 1 year old/lived in same house 1 year ago),Alabama/AL,Alaska/AK,Arizona/AZ,Arkansas/AR,California/CA,Colorado/CO,Connecticut/CT,Delaware/DE,District of Columbia/DC,Florida/FL,Georgia/GA,Hawaii/HI,Idaho/ID,Illinois/IL,Indiana/IN,Iowa/IA,Kansas/KS,Kentucky/KY,Louisiana/LA,Maine/ME,Maryland/MD,Massachusetts/MA,Michigan/MI,Minnesota/MN,Mississippi/MS,Missouri/MO,Montana/MT,Nebraska/NE,Nevada/NV,New Hampshire/NH,New Jersey/NJ,New Mexico/NM,New York/NY,North Carolina/NC,North Dakota/ND,Ohio/OH,Oklahoma/OK,Oregon/OR,Pennsylvania/PA,Rhode Island/RI,South Carolina/SC,South Dakota/SD,Tennessee/TN,Texas/TX,Utah/UT,Vermont/VT,Virginia/VA,Washington/WA,West Virginia/WV,Wisconsin/WI,Wyoming/WY,Puerto Rico,France,Germany,"Northern Europe, Not Specified","Eastern Europe, Not Specified","Western Europe or Other Europe, Not Specified",Italy,Spain,"United Kingdom, Excluding England",England,Russia,Ukraine (2017 or later),Afghanistan,"China, Hong Kong, Macau and Paracel Islands",India,Iraq (2016 or earlier),Israel (2017 or later),Japan,Korea,Nepal,Pakistan,Philippines,Saudi Arabia,Taiwan,Thailand,Turkey,United Arab Emirates (2017 or later),Vietnam,"Eastern Asia, Not Specified","Western Asia, Not Specified","South Central Asia or Asia, Not Specified",Canada,Mexico,El Salvador,Guatemala,Honduras,"Central America, Not Specified",Cuba,Dominican Republic,Haiti,Jamaica,"Caribbean and North America, Not Specified",Brazil,Colombia,Ecuador (2017 or later),Peru (2017 or later),Venezuela (2017 or later),"South America, Not Specified",Egypt,Ethiopia (2017 or later),Kenya (2017 or later),Nigeria,"Western Africa, Not Specified","Northern Africa or Other Africa, Not Specified","Eastern Africa, Not Specified",Australia,"Other US Island Areas, Oceania, Not Specified, or At Sea"
40 years Total Bachelor's degree,17527,14915,0,0,1641,0,262,78,0,0,0,0,0,0,14,24,0,46,0,28,0,0,75,0,9,0,0,0,0,0,13,44,0,59,22,0,0,0,0,0,0,0,0,18,0,31,15,0,13,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,12,0
41 years Total Bachelor's degree,14177,12143,0,0,1462,0,236,0,0,0,0,0,0,24,0,76,0,0,0,0,0,0,42,0,0,0,0,33,0,0,8,0,0,0,0,0,0,0,0,23,0,0,0,0,0,24,13,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42 years Total Bachelor's degree,17108,14197,0,0,1939,0,173,23,0,0,0,26,13,0,39,0,0,0,0,0,0,28,0,0,0,19,0,36,0,0,0,0,0,46,0,18,0,0,0,0,0,0,0,19,0,53,0,0,95,140,49,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,15,0,0,24,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43 years Total Bachelor's degree,15550,13303,3,0,1450,0,0,0,0,115,0,47,21,27,0,28,0,0,0,0,0,0,0,0,27,0,0,87,0,0,0,0,0,59,24,0,63,11,0,19,0,0,6,0,0,0,20,0,11,33,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,10,12,0,15,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44 years Total Bachelor's degree,15282,12930,0,0,1684,0,154,95,0,0,0,20,22,0,10,41,0,0,32,0,0,0,0,0,55,0,0,0,0,0,0,0,15,12,0,0,0,0,0,35,35,0,0,0,0,0,33,0,0,15,0,12,0,0,0,15,27,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45 years Total Bachelor's degree,16457,13905,0,0,1798,0,96,52,0,0,0,10,28,0,0,0,12,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,21,67,23,0,0,0,16,52,16,0,51,43,0,0,2,0,0,17,0,0,0,0,0,0,0,0,0,0,105,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46 years Total Bachelor's degree,17293,14660,0,0,1812,22,83,147,0,0,0,95,7,0,0,82,51,16,29,0,16,13,0,0,0,20,0,0,0,0,0,0,22,0,13,0,0,0,0,11,21,0,0,0,39,112,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47 years Total Bachelor's degree,15953,14218,0,0,1215,0,131,21,12,0,0,22,0,0,0,39,0,25,18,0,0,0,0,0,19,0,0,0,0,0,0,0,0,19,0,21,0,11,0,0,0,0,12,0,0,0,59,0,4,8,0,0,0,0,0,19,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11,0
48 years Total Bachelor's degree,17087,15091,0,0,1284,0,199,13,0,22,0,20,0,0,0,0,0,0,28,0,24,0,0,0,0,13,0,0,0,0,0,0,0,25,0,0,0,0,0,78,0,0,0,0,0,0,55,0,58,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49 years Total Bachelor's degree,15709,13816,14,0,1379,0,44,0,16,0,0,0,0,0,0,12,0,0,0,0,0,0,16,32,38,0,0,0,0,0,0,0,19,11,0,21,0,0,0,24,31,0,0,0,0,69,0,0,16,14,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
